original,translate
Puffed Salty Snacks Made From Maize With Peanuts,Snack salati soffiati a base di mais con arachidi
Verdure,Verde
Frutti A Guscio,Frutti A Guscio
Dolci Alla Noce,Dolci Alla Noce
Arachidi,Arachidi
En:Caramelized Peanuts,Arachidi caramellate
Fr:Cacahuetes-Sucrees,Arachidi Sucrees
Caramelle Gommose,Caramelle Gommose
En:Gummy Cola Bottles,Bottiglie di Cola gommosa
Strączkowe I Produkty Strączkowe,Legumi e prodotti a base di legumi
Strączkowe,Legumi
Słone Przekąski,Snack salati
Przystawki,Antipasti
Orzechy I Ich Produkty,Frutta a guscio e prodotti derivati
Orzechy,Noci
En:Roasted Nuts,Noci tostate
Orzeszki Ziemne,Arachidi
En:Salted Nuts,Noci salate
En:Roasted Peanuts,Arachidi tostate
En:Salted Peanuts,Arachidi salate
Croissants,Croissant
Cornetti Integrali,Cornetti Integrali
Crepe,Crepe
Dessert Proteico,Dessert Proteico
Dessert Alla Vaniglia,Dessert Alla Vaniglia
Puffed Cereal Cakes,Torte di cereali soffiati
Puffed Corn Cakes,Torte di mais soffiato
En:Pani,Pani
Marble Cakes,Torte di marmo
En:Frollini Al Cioccolato,Frollini Al Cioccolato
Pasta Filata,Pasta Filata
En:Lactose Free Dairies,Latterie senza lattosio
Puffed Rice Cakes,Torte di riso soffiato
Confitures Multifruits,Marmellata di frutti multipli
Confitures De Fruits Rouges Mélanges,Confetture miste di frutti rossi
En:Biscuit-Cookie-With-Chocolate-Prepacked,Biscotto con cioccolato preconfezionato
Kaffees,Kaffees
Kaffeebohnen,Chicchi di caffè
Fiocchi-Di-Latte,Fiocchi Di Latte
Sustitutos De La Leche,Sostituti del latte
Frutos De Cáscara Y Derivados,Frutti e derivati del Capsicum
Bebidas De Origen Vegetal,Bevande a base vegetale
Bebidas Vegetales,Bevande vegetali
Leches De Frutos De Cáscara,Leches di frutta Cáscara
Leches De Almendras,Leches De Almendras
Worcestershiresaucen,Worcestershiresaucen
Dolci Al Cioccolato,Dolci Al Cioccolato
Mousse Al Cioccolato,Mousse Al Cioccolato
Gaufrettes Fourrées À Noix De Coco,Cialde ripiene di cocco
Chinesische Nudeln,Tagliatelle cinesi
Nudeähnliches Lebensmittel,Cibo simile al nudo
Seitan,Seitan
Goûter Fourré,Spuntino Fourré
Tortillas De Maïs,Tortillas de Maïs
Abricots,Abricots
Barres De Céréales Aux Fruits,Barrette di cereali alla frutta
Barres De Céréales À L'Abricot,Barrette di cereali all'albicocca
Jus D'Ananas,Jus D'Ananas
Jus D'Ananas Pur Jus,Jus D'Ananas Pur Jus
Alimenti Fermentati Non Caseari,Alimenti Fermentati Non Caseari
Yogurt Vegetali,Yogurt Vegetali
Yogurt Di Soia,Yogurt a Soia
Latte Di Soia Naturale Non Zuccherato,Latte Di Soia Naturale Non Zuccherato
Biscuits Aux Oeufs,Biscotti all'uovo
Infusions De Réglisse,Infusi di liquirizia
Biscuits Fourrés Au Chocolat,Biscotti ripieni di cioccolato
En:Flavoured Fermented Dairy Desserts,Dessert a base di latte fermentato aromatizzato
En:Flavoured Fermented Dairy Desserts With Sugar And Cream,Dessert a base di latte fermentato aromatizzato con zucchero e panna
Yogures De Sabores,Yogures de Sabores
Tartlet Biscuits With Fruit Preparation,Biscotti per crostata con preparazione di frutta
Kirsche Konfitüren,Marmellate di ciliegie
Gingerbreads,pan di zenzero
Eaux De Coco,Acque di cocco
En:Vegetarian Patties,Polpette vegetariane
Verdure A Foglia,Verdure A Foglia
Spinaci,Spinaci
Tropische Früchte,Frutti tropicali
Ananas,Ananas
Torte Dolci,Torte Dolci
Torte Dolci E Salate,Torte Dolci E Salate
Tortine,Tortine
Crostatine Alla Frutta,Crostatine Alla Frutta
Crostatina,Crostatina
Buffalo Cheeses,Formaggi di bufala
Buffalo Mozzarella,Buffalo Mozzarella
Biologico,Biologico
Vegano,Vegano
Vegetario,Vegetariano
En:Wheat Crackers,Cracker di grano
En:Salty Snacks With Reduced Fat,Snack salati a ridotto contenuto di grassi
Birre,Birre
Birre Chiare,Birre Chiare
Crecker,Crecker
Gelati A Stecco,Gelati A Stecco
Mozzarella Di Mucca,Mozzarella Di Mucca
Pasta Di Gragnano,Pasta Di Gragnano
Salsa Di Soia,Salsa Di Soia
Tamaris,Tamaris
En:Fruit-Soy-Yogurts,Yogurt di soia alla frutta
Cereales Con Frutas,Cereali con frutta
En:Crunchy Cereal Clusters,Cluster croccanti di cereali
En:Cereal Clusters With Fruits,Cluster di cereali con frutta
Anchovy,Acciuga
Fish Fillets,Filetti di pesce
Anchovy Fillets,Filetti di acciughe
Anchovy Fillets In Oil,Filetti di acciughe sott'olio
Crèmes Glacées En Pot,Gelato in barattolo
Barres Glacées,Barrette di gelato
En:Barres,Barre
En:Barres Chocolatées,Barrette di cioccolato
En:Confiseries,Pasticceria
En:Confiseries Chocolatées,Pasticceria al cioccolato
Getreideflocken,Fiocchi di cereali
Frühstücksflocken,Cereali per la colazione
Extrudierte Flocken,Fiocchi estrusi
Gerollte Flocken,Fiocchi arrotolati
Haferflocken,Fiocchi d'avena
Proteine In Polvere,Proteine in Polvere
Biscuits Sec Fourré À La Pâte De Fruits,Biscotti secchi con ripieno di pasta di frutta
Sablés Aux Fruits Rouges,Pasta frolla ai frutti rossi
Produits Sans Gluten,Prodotti senza glutine
Biscuits Sans Gluten,Biscotti senza glutine
Pâtisseries,Pasticceria
Biscuit Pâtissier Meringué,Biscotto di pasta meringa
Compotes Allégées,Composte leggere
Légumes Préparés,Verdure preparate
Plats Préparés En Conserve,Piatti pronti in scatola
Ratatouilles,Ratatouille
Biscuits À La Fraise,Biscotti alla fragola
Bières,Birre
Bieres Aromatisées Aux Fruits,Birre aromatizzate alla frutta
Bières Ambrées,Birre ambrate
Bières À La Chataigne,Bières À La Chataigne
Graines De Tournesol Et Dérivés,Semi di girasole e derivati
Huiles De Tournesol,Oli di girasole
Riz Thaï,Riso thailandese
Riz Thaï Blanc,Riso bianco tailandese
Kits Repas,Kit Repas
Kit-Pour-Burritos,Kit Burrito
Barres Chocolatées Biscuitées Aux Noisettes,Barrette di biscotti al cioccolato e nocciole
Olivenbaumprodukte,Prodotti dell'olivo
Pflanzenöle,Oli vegetali
Olivenöle,Oli d'oliva
Native Olivenöle Extra,Oli extravergine di oliva
Native Olivenöle,Oli di oliva vergini
Auf Fleisch Basierende Lebensmittel,Alimenti a base di carne
Fertiggerichte,Pasti pronti
Fleischgerichte,Piatti di carne
Chili Con Carne,Chili Con Carne
Tiefkühlprodukte,Prodotti congelati
Tiefgekühlte Pflanzliche Lebensmittel,Alimenti vegetali surgelati
Tiefkühl-Gemüse,Verdure congelate
Gemüse Mischung,Miscela di verdure
Sojasoßen,Salse di soia
Barbecue Sauces,Salse per barbecue
It:Salsa Condimento,Condimento al prezzemolo
Barrette Di Cereali Con Nocciole,Barrette Di Cereali Con Nocciole
Pane Integrale,Pane Integrale
En:Fajitas,Fajitas
Pane Con Semi Di Lino Soia E Semi Di Girasole,Pane Con Semi Di Lino Soia E Semi Di Girasole
Fette Biscottate Multicereali,Fette Biscottate Multicereali
Tartes Sucrées,Crostate dolci
Tartes,Crostate
Tartelettes,Tartellette
Tomatenmark,Polpa di pomodoro
Tomatensauce,Salsa di pomodoro
Kefir Yogurts,Yogurt di kefir
Berries,Bacche
Strawberries,Fragole
En:Plant-Based Foods And Beverages  Plant-Based Foods  Cereals And Potatoes  Breads  Rye Breads,Alimenti e bevande a base vegetale Alimenti a base vegetale Cereali e patate Pani Pane di segale
Baguettes,Bacchette
Pre-Baked Breads,Pani precotti
Prodotti A Base Di Carne,Prodotti A Base Di Carne
Carni,Carni
Carni Preparate,Carni Preparate
Preparazioni A Base Di Carne,Preparazioni A Base Di Carne
Pollami,Pollami
En:Turkey And Its Products,La Turchia e i suoi prodotti
Tacchini,Tacchini
Fr:Charcuteries Cuites,Cuites di salumi
En:Cooked-Poultry-Breast-Slices,Fette di petto di pollame cotto
Petti Di Tacchino,Petti Di Tacchino
En:Plain Fermented Dairy Desserts,Dessert semplici a base di latticini fermentati
Yogurt Bianco,Yogurt Bianco
Yogurt Magro,Yogurt Magro
Cioccolato Ripieno,Cioccolato Ripieno
Cioccolato Fondente Ripieno,Cioccolato Fondente Ripieno
Jambons Crus,Crus Jambons
Jambons Secs,Jambons Secs
Jambons Italiens,Prosciutti italiani
Pasti Con Pesce,Pasti Con Pesce
Insalata Di Tonno,Insalata Di Tonno
Tonno-Con-Verdure-E-Legumi,Tonno Con Verdure E Legumi
Croutons,Crostini
Rice-Based Drinks,Bevande a base di riso
Plain Rice-Based Drinks,Bevande semplici a base di riso
Pasta De Trigo Duro,Pasta di grano duro
Espaguetis,Espaguetis
Pastas De Trigo Duro Integrales O Semi-Integrales,Paste integrali o semi-integrali di grano duro
Frollini Integrali,Frollini Integrali
Какаови Изделия,Prodotti al cacao
Popcorn,Popcorn
En:Carbonated Drinks,Bevande gassate
Băuturi Carbogazoase,Bevande gassate
Bevande Energetiche,Bevande Energetiche
En:Barrette,Barrette
En:Barrette Di Cereali,Barrette Di Cereali
En:Barrette Di Cereali Con Cioccolato,Barrette Di Cereali Con Cioccolato
Milch,Latte
Homogenisierte Milch,Latte omogeneizzato
Ziegenmilch,Latte di capra
H-Milch,Latte H
En:Biscuit Filled With Fruit Paste,Biscotto ripieno di pasta di frutta
Pralinenmischung,Miscela di cioccolato
Grickalice,Grickalice
Keksi I Kolači,Biscotto I Kolači
Keksi,Biscotto
En:Chocolate Biscuits,Biscotti al cioccolato
En:Keksit,Biscotti
En:Keksit Ja Kakut,Biscotti e torte
En:Makeat Naposteltavat,Bocconcini dolci
En:Naposteltavat,Natiche
En:Suklaakeksit,Biscotti al cioccolato
En:Puffed Salty Snacks,Snack salati soffiati
Български Сирена,Sirena bulgara
Българско Бяло Саламурено Сирене,Formaggio bianco salato bulgaro
Jus De Grenade,Granata
Farines,Farine
Farines De Céréales,Farine di cereali
Farines De Blé,Farine di legno
Farines De Froment,Farine di Froment
En:White Wheat Flours,Farine di grano bianco
Farines De Blé Type T55,Farina di frumento tipo T55
Fruits De Mer Surgelés,Frutti di mare congelati
Poissons Surgelés,Pesce congelato
Poissons Panés,Pesce impanato
Poissons Panés De Merlu Blanc,Pesce nasello bianco impanato
Batonnets De Poisson,Bastoncini di pesce
Riz Noir,Riso nero
En:Pure-Grapefruit-Juice,Succo di pompelmo puro
Hülsenfrüchte,Impulsi
Hülsenfruchtsamen,Semi di legumi
Getrockenete Hülsenfrüchte,Legumi secchi
Kichererbsen,Ceci
Hülsenfrüchte In Dosen,Legumi in scatola
Kichererbsen In Dosen,Ceci in scatola
Pappa Reale,Pappa Reale
Classic Hummus,Hummus classico
Quesos De Vaca,Formaggio di mucca
Quesos Del Reino Unido,Formaggi del Regno Unito
Quesos De Inglaterra,Formaggi dall'Inghilterra
Queso Cheddar,Queso Cheddar
Formaggi A Pasta Pressata Cruda,Formaggi A Pasta Pressata Cruda
Formaggi Olandesi,Formaggi Olandesi
Gouda,Gouda
Gouda Giovane,Gouda Giovane
En:Peynir,Formaggio
Prosciutto,Prosciutto
Crêpes And Galettes,Crêpes e Galettes
Jus De Canneberge,Jus De Canneberge
De:Konzentrat,Concentrato
Special Breads,Pane speciale
Panini Breads,Pane per panini
Geschnittenes Brot,Pane a fette
Toastbrote,Brindisi
Vollkornbrote,Pane integrale
Vollkorntoast,Toast integrale
En:Fruit-Based Beverages,Bevande a base di frutta
Sucuri Și Nectaruri,Succhi e nettarine
En:Fruit Juices,Succhi di frutta
En:Getreide-Und-Kartoffeln,Cereali e patate
En:Pflanzliche-Lebensmittel,Alimenti a base vegetale
En:Pflanzliche-Lebensmittel-Und-Getranke,Alimenti e bevande a base vegetale
Fromages À Pâte Pressée Demi-Cuite,Formaggio pressato semicrudo
Bières Sans Alcool,Birre analcoliche
Noix,Noix
Cerneaux De Noix,Gherigli di noce
Frutos De Cáscara Sin Cáscara,"Noci, noci sgusciate"
Nueces,Noci
Nueces Mondadas,Nueces Mondadas
Pastina,Pastina
Biscuit Aux Céréales,Biscotto ai cereali
Caramelle Dure,Caramello duro
Marmellate Di Mirtilli Neri,Marmellate Di Mirtilli Neri
Budini,Budini
En:Legumes And Their Products,Legumi e loro prodotti
En:Legume-Based Drinks,Bevande a base di legumi
En:Soy-Based Drinks,Bevande a base di soia
En:Soy Drinks Flavoured With Sugar,Bevande di soia aromatizzate con zucchero
En:Pane,Signore
Eau Tonique,Acqua tonica
Crema Di Pistacchio,Crema Di Pistacchio
Prodotti Senza Glutine,Prodotti Senza Glutine
Pasta Senza Glutine,Pasta Senza Glutine
Uova,Uova
En:Egg White,Albume d'uovo
Albume,Albumina
Yogurt Intero,Yogurt Intero
Pâtes De Blé Dur Complet,Pasta integrale di grano duro
Spaghettis De Blé Dur Complet,Spaghetti integrali
En:Whole-Wheat-Spaghetti,Spaghetti integrali
Frutte Secche,Frutte Secche
Mele Secche,Mele Secche
Filetti Di Pesce,Filetti Di Pesce
Sgombro,Sgombro
Filetti Di Sgombro,Filetti Di Sgombro
En:Alimenti In Scatola,Alimenti In Scatola
En:Filetti Di Pesce,Filetti Di Pesce
En:Filetti Di Sgombro,Filetti Di Sgombro
En:Frutti Di Mare,Frutti Di Mare
En:Pesce In Scatola,Pesce In Scatola
En:Pesci,Pesci
En:Sgombro,Sgombro
Prodotti Artigianali,Prodotti Artigianali
Grissini Artigianali,Grissini Artigianali
Pane Bianco,Pane Bianco
Yogurt Colato,Yogurt Colato
Nettare Di Frutta,Nettare Di Frutta
Nettari Multifrutta,Nettari Multifrutta
Fromages À Tartiner,Formaggi spalmabili
En:Cheese Spreads Substitutes,Sostituti del formaggio spalmabile
Alimenti Refrigerati,Alimenti Refrigerati
Polpette Vegetali,Polpette Vegetali
Falafel,Falafel
Falafel Congelato,Falafel congelato
Evaporated Milks,Latte evaporato
Coffee Milks,Latte al caffè
Tè Nero,Tè Nero
Tè Freddo Alla Pesca,Tè Freddo Alla Pesca
Thés Glacés Saveur Citron,Tè freddo al gusto di limone
Salse Barbecue,Barbecue Salse
Flocons De Blé,Fiocchi di grano
Бисквити И Сладкиши,Biscotti e dolci
Бисквити,Biscotti
Шоколадови Бисквити,Biscotti al cioccolato
En:Digestives Covered With Chocolate,Digestive ricoperte di cioccolato
En:Десерт,Dessert
Burri Di Cereali,Burri Di Cereali
Tahina,Tahina
Cioccolato Al Latte,Cioccolato Al Latte
De:Schokoladentafel,Barretta di cioccolato
En:Whole-Wheat-Biscuits,Biscotti integrali
En:Vegetarian,Vegetariano
Karamel-Schokoladen,Cioccolatini al caramello
Milchschokolade Mit Karamel,Cioccolato al latte con caramello
Barquettes Aux Fruits,Vassoi di frutta
Barquettes À La Fraise,Barrette alla fragola
Grenades,Granate
Riz Étuvé,Riso parboiled
Farfalles De Blé Dur,Farfalle di grano duro
Pickles D'Origine Végétale,Sottaceti vegetali
Olives Vertes,Olive Vertes
Olives Entières,Olive intere
Olives Vertes Entières,Olive verdi intere
Nectars De Fruits,Nettari di frutta
Nectars Multifruits,Nettari multi-frutto
Cornetti Farciti,Cornetti Farciti
Cornetti Farciti Con Crema,Cornetti Farciti Con Crema
Tiefkühl-Desserts,Dessert congelati
Speiseeis Und Sorbets,Gelati e sorbetti
Speiseeis,Gelato
Eisbecher,Sundae
Frutas Y Verduras Y Sus Productos,Frutta e verdura e i loro prodotti
Verduras Y Hortalizas Y Sus Productos,Ortaggi e prodotti derivati
Salsas,Salse
Tomates Y Sus Productos,Pomodori e prodotti a base di pomodoro
Salsas De Tomate,Salsa di pomodoro
En:Strained Tomatoes,Pomodori filtrati
Preparazioni A Base Di Patate,Preparazioni A Base Di Patate
Puré,Purè
Purè Di Patate,Purè Di Patate
Puré Di Patate Istantaneo,Puré Di Patate Istantaneo
Cibi E Bevande A Base Vegetale Cibi A Base Vegetale,Cibi E Bevande A Base Vegetale Cibi A Base Vegetale
Meal Sauces,Salse per i pasti
Tomato Sauces With Basil,Salse al pomodoro con basilico
Salse A Base Di Carne,Salse A Base Di Carne
Sughi A Base Di Carne,Sughi A Base Di Carne
Sughi Alla Bolognese,Sughi Alla Bolognese
Flours,Farine
Cereal Flours,Farine di cereali
Wheat Flours,Farine di grano
It:Farina Lavorata,Farina Lavorata
Margarina,Margarina
Margarina Light,Margarina Light
Puddings,Budini
Dolci Di Soia,Dolci Di Soia
Mozzarella Di Bufala Campana,Mozzarella Di Bufala Campana
Formaggio A Pasta Filata,Formaggio A Pasta Filata
Succo Di Limone,Succo Di Limone
En:Squeezed Lemon Juices,Succhi di limone spremuti
Patatine In Olio Di Semi Di Girasole,Patatine In Olio Di Semi Di Girasole
Cannelloni,Cannelloni
En:Cereal Flakes With Chocolate,Fiocchi di cereali con cioccolato
Flavoured Potato Crisps,Patatine aromatizzate
Nectars De Pêche,Nettari di pesca
Chinotto,Chinotto
Riso,Riso
Riso Integrale,Riso Integrale
Crostini,Crostini
Legumi,Legumi
En:Beef And Its Products,La carne di manzo e i suoi prodotti
Manzo,Manzo
Carne In Scatola,Carne In Scatola
Aceto Di Mele,Aceto Di Mele
En:Aceto,Aceto
Panetonne,Panetonne
Orge Et Café En Poudre Soluble,Orzo e caffè in polvere solubile
It:Orzo E Caffè Solubile,Orzo E Caffè Solubile
Zucchero,Zucchero
Zucchero Semolato,Zucchero Semolato
En:Fruit Skyrs,Cieli di frutta
Meat Free Chicken,Pollo senza carne
En:Cereali Al Cioccolato,Cereali Al Cioccolato
Buns,Panini
Yogurt Dolcificati,Yogurt Dolcificati
Sauces Pesto Rosso,Salse al pesto rosso
Chocolats Aux Céréales,Cioccolatini ai cereali
Chocolats Noirs Extra Fin,Cioccolatini fondenti extra fini
Sweeteners,Dolcificanti
Syrups,Sciroppi
Simple Syrups,Sciroppi semplici
Agave Syrups,Sciroppi d'agave
Biscuits Nappés Au Chocolat,Biscotti ricoperti di cioccolato
En:Boissons Aux Fruits,Bevande alla frutta
En:Boissons À Base De Végétaux,Bevande a base vegetale
En:Jus De Fruits,Jus de Fruits
En:Jus De Fruits Pur Jus,Jus de Fruits Pur Jus
En:Jus De Pomme,Jus de Pomme
En:Jus De Pommes Pur Jus,Succo di mela puro
En:Jus Et Nectars,Jus Et Nectars
Melanges-De-Cereales,Melanzane di cereali
Es:Zumo,Zumo
Tartelettes Au Chocolat,Crostate al cioccolato
Pains Précuits,Pane precotto
Sesamo,Sesamo
El:Pasteli,Pasteli
El:Sesame-Bar,Bar Sesamo
En:Seminka,Seminka
En:Sesame-Bar,Bar Sesamo
Ro:Baton-Susan,Baton Susan
Quark,Quark
Juices And Nectars,Succhi e nettari
Fruit Juices,Succhi di frutta
Apple Juices,Succhi di mela
Fruit Juices From Concentrate,Succhi di frutta da concentrato
Apple Juices From Concentrate,Succhi di mela da concentrato
Milk Bread Rolls,Panini al latte
En:Epicerie,Epicerie
Plant-Based Creams,Creme a base vegetale
Plant-Based Creams For Cooking,Creme vegetali per la cucina
Coconut Milks And Creams,Latte e creme di cocco
Biscoitos E Bolos,Biscotti e torte
Biscoitos,Biscotti
Biscoitos De Chocolate,Biscotti al cioccolato
En:Fruit Tarts,Crostate di frutta
Drinkable Yogurts,Yogurt da bere
Frutta,Frutta
Frutti Di Bosco,Frutti Di Bosco
En:Cocoa Oat-Based Drinks,Bevande a base di cacao e avena
Miele Liquido,Miele Liquido
Fiocchi-Latte,Fiocchi Latte
Fiocchi Di Latte,Fiocchi Di Latte
Pizza Margherita,Pizza Margherita
Salsicce,Salsicce
En:Charcuteries,Salumi
En:Saucisses,Salsicce
En:Viandes,Viandes
Formaggi Vegani,Formaggi Vegani
Tonno Al Naturale,Tonno Al Naturale
Focacce,Focacce
Pani Di Grano,Pani Di Grano
Tortilla,Tortilla
Cereal Flakes With Fruits,Fiocchi di cereali con frutta
En:Nuts And Their Products,Noci e loro prodotti
En:Plant-Based Spreads,Creme spalmabili a base vegetale
En:Oilseed Purees,Puree di semi oleosi
En:Legume Butters,Burri di legumi
En:Nut Butters,Burri di noci
En:Peanut Butters,Burri di arachidi
Huiles De Colza,Olio di colza
Crema Spalmabile Alle Nocciole,Crema Spalmabile Alle Nocciole
Frollini-Ai-Cereali,Frollini Ai Cereali
En:Wafers,Cialde
En:Stuffed Wafers,Cialde ripiene
En:Chocolate Stuffed Wafers,Cialde ripiene di cioccolato
It:Wafers-Al-Cioccolato,Wafers Al Cioccolato
Limonata,Limonata
Nougats,Torrone
Cioccolato Alle Nocciole,Cioccolato Alle Nocciole
Cioccolato Al Latte Con Nocciole,Cioccolato Al Latte Con Nocciole
Alimente Fermentate,Alimente Fermentate
En:Fermented Milk Products,Prodotti a base di latte fermentato
En:Dairy Desserts,Dolci a base di latte
Iaurturi,Yogurt
Iaurturi Cu Fructe,Yogurt alla frutta
Yogurt Di Mucca,Yogurt in Mucca
En:Grated Horseradish,Rafano grattugiato
De:Meerrettich,Meerrettich
Cren,Cren
Rafano,Rafano
Cioccolato Alle Mandorle,Cioccolato Alle Mandorle
Cioccolato Fondente Alle Mandorle,Cioccolato Fondente Alle Mandorle
Nectars De Pomme,Nettari di Pomme
Boissons Plates Aux Fruits,Bevande piatte alla frutta
Produits De La Plante De Courge,Prodotti per piante di zucca
Courges Et Dérivés,Zucca e derivati
Courges,Zucchine
Courges Butternut,Zucchine di noce di burro
Canistrelli,Canistrelli
Biscuits Aux Noisettes,Biscotti alla nocciola
Atunes,Giovani
Atún En Aceite,Tonno sott'olio
Atún En Aceite De Girasol,Tonno in olio di girasole
Purée De Fruits Sans Sucres Ajoutés,Purea di frutta senza zucchero aggiunto
